userA,userB,score
zxcvbn208,ycb401,1.0
zxcvbn208,wangman,1.0
ycb401,wangman,1.0
winginsleep,barton5614,1.0
lucaswhite,edcqaz,1.0
lucaswhite,badboyman,1.0
lucaswhite,alice9031,1.0
edcqaz,badboyman,1.0
edcqaz,alice9031,1.0
alice9031,badboyman,1.0
fkhope,bbbyy,0.5
michael2341,s9899653,0.469799
bbbyy,s9899653,0.419467
xul4m4vu6666,chehsien    ,0.4
fkhope,michael2341,0.394737
BRANDIO,kuoly1,0.393443
michael2341,nuiman,0.384615
fkhope,klexwind,0.375
balanceCIH,YSJ543,0.370577
fkhope,s9899653,0.366197
michael2341,bbbyy,0.363636
nuiman,s9899653,0.361111
Kuwano,sinceremusic,0.36
Kuwano,myanko,0.36
Kuwano,cyndimax,0.36
nuiman,bbbyy,0.351351
myanko,sinceremusic,0.333333
jiajiaWeng,answer1115,0.333333
fkhope,nuiman,0.333333
cyndimax,sinceremusic,0.333333
cyndimax,myanko,0.333333
cyndimax,lucaswhite,0.333333
cyndimax,edcqaz,0.333333
cyndimax,badboyman,0.333333
cyndimax,alice9031,0.333333
Janel,YSJ543,0.330979
Janel,balanceCIH,0.324592
yofa,YSJ543,0.312883
klexwind,bbbyy,0.3
fkhope,myanko,0.297297
fkhope,kuoly1,0.293706
bbbyy,myanko,0.290323
michael2341,kuoly1,0.275229
fkhope,BRANDIO,0.27451
kuoly1,bbbyy,0.272578
Xavier114,Cervelo1995,0.269578
klexwind,myanko,0.268293
kuoly1,s9899653,0.259136
michael2341,BRANDIO,0.25641
BRANDIO,bbbyy,0.255708
EZILI,drsharp,0.241379
BRANDIO,s9899653,0.240741
nuiman,kuoly1,0.24
drsharp,studentkeich,0.238095
chehsien    ,YSJ543,0.231156
balanceCIH,yofa,0.227723
xul4m4vu6666,cp109,0.225806
xul4m4vu6666,NWAHSEF,0.225
cp109,chehsien    ,0.222222
BRANDIO,nuiman,0.222222
Verola,Cervelo1995,0.218389
xul4m4vu6666,satoyama,0.218341
vaude,gn02519719,0.214286
xul4m4vu6666,YSJ543,0.2125
michael2341,klexwind,0.208333
ticketwoon,bbbyy,0.204819
duane,godswd,0.203429
BRANDIO,klexwind,0.20339
cp109,satoyama,0.20193
DickMartin,YSJ543,0.201279
Verola,Xavier114,0.2003
zxcvbn208,jiajiaWeng,0.2
xul4m4vu6666,fleeaaa,0.2
jiajiaWeng,ycb401,0.2
jiajiaWeng,wangman,0.2
klexwind,s9899653,0.196226
DickMartin,yofa,0.195826
DickMartin,Cervelo1995,0.195259
balanceCIH,DickMartin,0.195127
matrix4096,Verola,0.192578
Xavier114,Handway,0.190743
cdpicker,bbbyy,0.190476
NWAHSEF,chehsien    ,0.190476
kuoly1,klexwind,0.189349
fkhope,q076262018,0.189189
Janel,yofa,0.187643
Verola,godswd,0.183965
funkie,satoyama,0.18299
Xavier114,kazeki,0.182475
nuiman,klexwind,0.181818
jiajiaWeng,klexwind,0.181818
answer1115,klexwind,0.181818
EZILI,studentkeich,0.181818
sinple,sowhat7511,0.180628
Verola,kevin31a2,0.17983
matrix4096,kevin31a2,0.179338
wty,Cervelo1995,0.179002
michael2341,q076262018,0.178571
hadeshell,kevin31a2,0.17788
hadeshell,Verola,0.176492
satoyama,godswd,0.176092
Allenguy,kevin31a2,0.176086
cp109,Allenguy,0.175386
q076262018,BRANDIO,0.174757
q076262018,klexwind,0.172131
sowhat7511,kevin31a2,0.17186
hadeshell,duane,0.171559
yfefey,kazeki,0.170966
DickMartin,redsuck,0.170565
matrix4096,sowhat7511,0.169449
duane,sowhat7511,0.169394
q076262018,s9899653,0.169197
duane,satoyama,0.168651
duane,kevin31a2,0.168596
yfefey,myanko,0.168367
xul4m4vu6666,godswd,0.168067
satoyama,sowhat7511,0.167863
yfefey,Xavier114,0.166956
Cervelo1995,Handway,0.166225
godswd,Cervelo1995,0.165985
kazeki,Cervelo1995,0.164129
q076262018,kuoly1,0.163823
duane,Cervelo1995,0.163124
yfefey,cdpicker,0.163043
michael2341,myanko,0.16129
chehsien    ,satoyama,0.16129
kevin31a2,Cervelo1995,0.161052
fkhope,yfefey,0.160988
matrix4096,duane,0.160678
matrix4096,Cervelo1995,0.160513
matrix4096,satoyama,0.160363
godswd,sowhat7511,0.159606
xul4m4vu6666,duane,0.159151
yfefey,klexwind,0.158594
q076262018,nuiman,0.157895
q076262018,bbbyy,0.157895
BRANDIO,myanko,0.157895
Verola,duane,0.156362
xul4m4vu6666,yofa,0.15625
cdpicker,wty,0.155914
Allenguy,sowhat7511,0.154472
matrix4096,kazeki,0.154324
Xavier114,godswd,0.154307
balanceCIH,redsuck,0.153938
cp109,duane,0.153892
fleeaaa,chehsien    ,0.153846
funkie,cp109,0.153226
myanko,s9899653,0.152941
cdpicker,s9899653,0.152393
Verola,Handway,0.151458
Verola,satoyama,0.151338
